"id";"symbol";"timestamp";"tradingDay";"open";"high";"low";"close";"volume";"createdAt";"updatedAt"
93;"NFLX";"2018-09-11T00:00:00-04:00";"2018-09-11";344.67;356.15;343.9;355.93;6198000;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
94;"NFLX";"2018-09-12T00:00:00-04:00";"2018-09-12";359.08;370.43;356.24;369.95;10480700;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
95;"NFLX";"2018-09-13T00:00:00-04:00";"2018-09-13";371.91;374.09;366.84;368.15;8366100;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
96;"NFLX";"2018-09-14T00:00:00-04:00";"2018-09-14";368.55;371.09;363.46;364.56;4756400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
97;"NFLX";"2018-09-17T00:00:00-04:00";"2018-09-17";364.22;367.33;349.57;350.35;7071900;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
98;"NFLX";"2018-09-18T00:00:00-04:00";"2018-09-18";353.67;368.15;351.56;367.65;10413900;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
99;"NFLX";"2018-09-19T00:00:00-04:00";"2018-09-19";373.95;377.61;359.17;366.96;11876800;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
100;"NFLX";"2018-09-20T00:00:00-04:00";"2018-09-20";370.26;370.26;363.17;365.36;6768000;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
101;"NFLX";"2018-09-21T00:00:00-04:00";"2018-09-21";366.59;372.22;360.74;361.19;11930500;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
102;"NFLX";"2018-09-24T00:00:00-04:00";"2018-09-24";359.0;373.64;354.33;369.61;9322500;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
103;"NFLX";"2018-09-25T00:00:00-04:00";"2018-09-25";370.23;371.34;364.49;369.43;6799800;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
104;"NFLX";"2018-09-26T00:00:00-04:00";"2018-09-26";373.59;382.0;370.88;377.88;13799700;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
105;"NFLX";"2018-09-27T00:00:00-04:00";"2018-09-27";379.87;383.2;376.0;380.71;7326200;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
106;"NFLX";"2018-09-28T00:00:00-04:00";"2018-09-28";379.24;380.8;373.73;374.13;7114800;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
107;"NFLX";"2018-10-01T00:00:00-04:00";"2018-10-01";375.85;386.11;375.59;381.43;8376500;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
108;"NFLX";"2018-10-02T00:00:00-04:00";"2018-10-02";384.38;386.8;373.83;377.14;8638700;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
109;"NFLX";"2018-10-03T00:00:00-04:00";"2018-10-03";378.53;380.93;374.88;377.05;5798600;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
110;"NFLX";"2018-10-04T00:00:00-04:00";"2018-10-04";375.88;375.92;360.4;363.65;9074300;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
111;"NFLX";"2018-10-05T00:00:00-04:00";"2018-10-05";359.77;363.5;343.0;351.35;13522900;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
112;"NFLX";"2018-10-08T00:00:00-04:00";"2018-10-08";345.18;352.945;338.11;349.1;12375400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
113;"NFLX";"2018-10-09T00:00:00-04:00";"2018-10-09";348.48;358.72;347.09;355.71;8754900;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
114;"NFLX";"2018-10-10T00:00:00-04:00";"2018-10-10";353.52;355.15;325.39;325.89;17183100;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
115;"NFLX";"2018-10-11T00:00:00-04:00";"2018-10-11";324.94;334.2;315.81;321.1;16082000;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
116;"NFLX";"2018-10-12T00:00:00-04:00";"2018-10-12";339.57;341.3;328.9;339.56;14870800;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
117;"NFLX";"2018-10-15T00:00:00-04:00";"2018-10-15";337.63;339.21;326.93;333.13;11214900;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
118;"NFLX";"2018-10-16T00:00:00-04:00";"2018-10-16";337.24;347.95;330.555;346.4;20156400;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
119;"NFLX";"2018-10-17T00:00:00-04:00";"2018-10-17";378.33;380.0;356.5;364.7;32610900;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
120;"NFLX";"2018-10-18T00:00:00-04:00";"2018-10-18";360.67;362.2;346.05;346.71;18461000;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
121;"NFLX";"2018-10-19T00:00:00-04:00";"2018-10-19";351.0;355.8;332.2;332.67;16717200;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
122;"NFLX";"2018-10-22T00:00:00-04:00";"2018-10-22";333.1;335.8;320.34;329.54;17097100;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
123;"NFLX";"2018-10-23T00:00:00-04:00";"2018-10-23";318.0;336.58;316.77;333.16;14907300;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
124;"NFLX";"2018-10-24T00:00:00-04:00";"2018-10-24";332.28;333.0;300.73;301.83;19039200;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
125;"NFLX";"2018-10-25T00:00:00-04:00";"2018-10-25";307.12;319.94;305.25;312.87;13346900;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
126;"NFLX";"2018-10-26T00:00:00-04:00";"2018-10-26";300.51;313.99;292.3;299.83;19616000;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
127;"NFLX";"2018-10-29T00:00:00-04:00";"2018-10-29";305.26;307.89;275.4;284.84;21698800;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
128;"NFLX";"2018-10-30T00:00:00-04:00";"2018-10-30";275.57;290.525;271.209;285.81;23685700;"2018-10-31 14:34:37";"2018-10-31 14:34:37"
